Match_ID,Match_Date,Championship_Match,WinLoss,WinChampionship,LoseChampionship,SinglesChampionshipHeld,TagChampionshipHeld,IsTitleMatch
860,07.02.2008,Exhibition,Win,No,No,No Championship,No Championship,No
859,07.02.2008,WWE Championship,Win,No,No,No Championship,No Championship,Yes
858,06.02.2008,Exhibition,Win,No,No,No Championship,No Championship,No
857,04.02.2008,Exhibition,Win,No,No,No Championship,No Championship,No
856,27.01.2008,Contendership,Win,No,No,No Championship,No Championship,No
855,01.10.2007,Exhibition,Win,No,Yes,WWE Championship,No Championship,No
854,24.09.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
853,22.09.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
852,22.09.2007,WWE Championship,No Contest,No,No,WWE Championship,No Championship,Yes
851,17.09.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
850,16.09.2007,WWE Championship,Loss,No,No,WWE Championship,No Championship,Yes
849,07.09.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
848,06.09.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
847,05.09.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
846,01.09.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
845,27.08.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
844,26.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
843,25.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
842,20.08.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
841,19.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
840,18.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
839,17.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
838,13.08.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
837,13.08.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
836,12.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
835,11.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
834,10.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
833,06.08.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
832,05.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
831,04.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
830,03.08.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
829,30.07.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
828,29.07.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
827,28.07.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
826,27.07.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
825,23.07.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
824,22.07.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
823,21.07.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
822,20.07.2007,WWE Championship,No Contest,No,No,WWE Championship,No Championship,Yes
821,07.07.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
820,06.07.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
819,05.07.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
818,04.07.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
817,01.07.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
816,30.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
815,26.06.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
814,24.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
813,23.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
812,18.06.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
811,17.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
810,17.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
809,16.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
808,15.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
807,11.06.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
806,11.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
805,08.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
804,07.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
803,06.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
802,04.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
801,03.06.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
800,28.05.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
799,28.05.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
798,20.05.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
797,19.05.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
796,18.05.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
795,12.05.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
794,11.05.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
793,07.05.2007,Exhibition,No Contest,No,No,WWE Championship,No Championship,No
792,06.05.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
791,05.05.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
790,04.05.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
789,29.04.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
788,24.04.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
787,23.04.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
786,22.04.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
785,21.04.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
784,20.04.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
783,19.04.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
782,18.04.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
781,17.04.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
780,16.04.2007,Exhibition,Win,No,No,WWE Championship,No Championship,No
779,15.04.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
778,14.04.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
777,02.04.2007,WWE World Tag Team Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
776,02.04.2007,WWE World Tag Team Championship,Loss,No,Yes,WWE Championship,WWE World Tag Team Championship,Yes
775,01.04.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
774,26.03.2007,Exhibition,Loss,No,No,WWE Championship,WWE World Tag Team Championship,No
773,25.03.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
772,24.03.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
771,19.03.2007,Exhibition,Win,No,No,WWE Championship,WWE World Tag Team Championship,No
770,18.03.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
769,12.03.2007,WWE World Tag Team Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
768,10.03.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
767,09.03.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
766,08.03.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
765,05.03.2007,Exhibition,Win,No,No,WWE Championship,WWE World Tag Team Championship,No
764,04.03.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
763,26.02.2007,WWE World Tag Team Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
762,25.02.2007,WWE World Tag Team Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
761,24.02.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
760,19.02.2007,Exhibition,Win,No,No,WWE Championship,WWE World Tag Team Championship,No
759,18.02.2007,Exhibition,Win,No,No,WWE Championship,WWE World Tag Team Championship,No
758,13.02.2007,Exhibition,Win,No,No,WWE Championship,WWE World Tag Team Championship,No
757,12.02.2007,Exhibition,Win,No,No,WWE Championship,WWE World Tag Team Championship,No
756,11.02.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
755,10.02.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
754,04.02.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
753,03.02.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
752,02.02.2007,WWE Championship,Win,No,No,WWE Championship,WWE World Tag Team Championship,Yes
751,30.01.2007,Exhibition,Win,No,No,WWE Championship,WWE World Tag Team Championship,No
750,29.01.2007,WWE World Tag Team Championship,Win,Yes,No,WWE Championship,WWE World Tag Team Championship,Yes
749,28.01.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
748,22.01.2007,Exhibition,No Contest,No,No,WWE Championship,No Championship,No
747,22.01.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
746,21.01.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
745,20.01.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
744,13.01.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
743,08.01.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
742,07.01.2007,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
741,01.01.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
740,01.01.2007,Exhibition,Loss,No,No,WWE Championship,No Championship,No
739,30.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
738,29.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
737,28.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
736,27.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
735,26.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
734,18.12.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
733,18.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
732,17.12.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
731,12.12.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
730,11.12.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
729,11.12.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
728,11.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
727,07.12.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
726,04.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
725,03.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
724,02.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
723,01.12.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
722,27.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
721,26.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
720,20.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
719,15.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
718,14.11.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
717,13.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
716,12.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
715,11.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
714,10.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
