Match_ID,Match_Date,Venue,CityTown,StateProvince,Country
1456,24.10.2011,Frank Erwin Center,Austin,Texas,USA
1455,23.10.2011,AT&T Center,San Antonio,Texas,USA
1454,22.10.2011,American Bank Center,Corpus Christi,Texas,USA
1453,15.10.2011,Palacio de los Deportes,Mexico City,Distrito Federal,Mexico
1452,15.10.2011,Palacio de los Deportes,Mexico City,Distrito Federal,Mexico
1451,14.10.2011,Baseball Stadium Hermanos Serdan,Heroica Puebla de Zaragoza,Puebla,Mexico
1450,13.10.2011,Kukulcan Baseball Stadium,Merida,Yucatan,Mexico
1449,12.10.2011,Arena Monterrey,Monterrey,Nuevo Leon,Mexico
1448,11.10.2011,American Airlines Center,Dallas,Texas,USA
1447,10.10.2011,Chesapeake Energy Arena,Oklahoma City,Oklahoma,USA
1446,09.10.2011,World Arena,Colorado Springs,Colorado,USA
1445,08.10.2011,Budweiser Events Center,Loveland,Colorado,USA
1444,07.10.2011,Pepsi Center,Denver,Colorado,USA
1443,03.10.2011,Cajundome,Lafayette,Louisiana,USA
1442,02.10.2011,New Orleans Arena,New Orleans,Louisiana,USA
1441,01.10.2011,Mobile Civic Center,Mobile,Alabama,USA
1440,26.09.2011,Sprint Center,Kansas City,Missouri,USA
1439,26.09.2011,Sprint Center,Kansas City,Missouri,USA
1438,19.09.2011,Quicken Loans Arena,Cleveland,Ohio,USA
1437,19.09.2011,Quicken Loans Arena,Cleveland,Ohio,USA
1436,18.09.2011,First Niagara Center,Buffalo,New York,USA
1435,17.09.2011,Covelli Centre,Youngstown,Ohio,USA
1434,16.09.2011,Big Sandy Superstore Arena,Huntington,West Virginia,USA
1433,12.09.2011,Scotiabank Place,Ottawa,Ontario,Canada
1432,12.09.2011,Scotiabank Place,Ottawa,Ontario,Canada
1431,11.09.2011,K-Rock Centre,Kingston,Ontario,Canada
1430,10.09.2011,John Labatt Centre,London,Ontario,Canada
1429,09.09.2011,Barrie Molson Centre,Barrie,Ontario,Canada
1428,05.09.2011,Nationwide Arena,Columbus,Ohio,USA
1427,04.09.2011,WesBanco Arena,Wheeling,West Virginia,USA
1426,03.09.2011,Sun National Bank Center,Trenton,New Jersey,USA
1425,02.09.2011,Coliseo De Puerto Rico Jose M. Agrelot,San Juan,Puerto Rico,USA
1424,30.08.2011,INTRUST Bank Arena,Wichita,Kansas,USA
1423,29.08.2011,BOK Center,Tulsa,Oklahoma,USA
1422,28.08.2011,Verizon Arena,North Little Rock,Arkansas,USA
1421,27.08.2011,FedExForum,Memphis,Tennessee,USA
1420,26.08.2011,Mississippi St. Fair Coliseum,Jackson,Mississippi,USA
1419,22.08.2011,Rexall Place,Edmonton,Alberta,Canada
1418,20.08.2011,Credit Union Centre,Saskatoon,Saskatchewan,Canada
1417,19.08.2011,Brandt Centre,Regina,Saskatchewan,Canada
1416,14.08.2011,Staples Center,Los Angeles,California,USA
1415,08.08.2011,HP Pavilion At San Jose,San Jose,California,USA
1414,08.08.2011,HP Pavilion At San Jose,San Jose,California,USA
1413,06.08.2011,Save Mart Center At Fresno State,Fresno,California,USA
